Target	UniProt.Name	Comp.1	Comp.2	Comp.3	Comp.4	Comp.5
P05093	Steroid 17-alpha-hydroxylase/17,20 lyase	0.096	0.436	0.592	0.226	0.202
O00748	Cocaine esterase	0.094	0.212	0.374	0.17	0.19
P12822	Angiotensin-converting enzyme	0.094	0.126	0.086	0.08	0.018
P42338	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform	0.094	0.18	0.042	0.148	0.006
P56817	Beta-secretase 1	0.094	0.192	0.05	0.066	0.096
P09874	Poly [ADP-ribose] polymerase 1	0.092	0.168	0.012	0.076	0.03
P13516	Acyl-CoA desaturase 1	0.092	0.054	0.032	0.126	0.034
P22460	Potassium voltage-gated channel subfamily A member 5	0.092	0.21	0.054	0.104	0.028
P30542	Adenosine receptor A1	0.092	0.2	0.008	0.056	0.012
P30939	5-hydroxytryptamine receptor 1F	0.092	0.184	0.094	0.184	0.112
P34975	Kappa-type opioid receptor	0.092	0.184	0.486	0.088	0.148
P08172	Muscarinic acetylcholine receptor M2	0.09	0.194	0.134	0.084	0.106
P29274	Adenosine receptor A2a	0.09	0.212	0.03	0.106	0.012
P49137	MAP kinase-activated protein kinase 2	0.09	0.148	0.062	0.134	0.05
O43497	Voltage-dependent T-type calcium channel subunit alpha-1G	0.088	0.15	0.096	0.088	0.124
P08482	Muscarinic acetylcholine receptor M1	0.088	0.2	0.108	0.092	0.068
P13631	Retinoic acid receptor gamma	0.088	0.276	0.444	0.074	0.122
Q8NER1	Transient receptor potential cation channel subfamily V member 1	0.088	0.116	0.344	0.144	0.076
P08238	Heat shock protein HSP 90-beta	0.086	0.168	0.134	0.132	0.028
P15121	Aldose reductase	0.086	0.198	0.114	0.232	0.124
P23975	Sodium-dependent noradrenaline transporter	0.086	0.16	0.078	0.17	0.132
P41231	P2Y purinoceptor 2	0.086	0.11	0.088	0.086	0.04
P52333	Tyrosine-protein kinase JAK3	0.086	0.148	0.024	0.068	0.01
P11086	Phenylethanolamine N-methyltransferase	0.084	0.218	0.116	0.064	0.044
P11309	Serine/threonine-protein kinase pim-1	0.084	0.184	0.012	0.068	0.052
P40238	Thrombopoietin receptor	0.084	0.102	0.038	0.066	0.02
P08909	5-hydroxytryptamine receptor 2C	0.082	0.168	0.07	0.142	0.076
Q02769	Squalene synthase	0.082	0.118	0.278	0.112	0.17
P05771	Protein kinase C beta type	0.08	0.156	0.338	0.066	0.062
P11802	Cyclin-dependent kinase 4	0.08	0.144	0.034	0.042	0.012
P31645	Sodium-dependent serotonin transporter	0.08	0.228	0.066	0.246	0.254
P34972	Cannabinoid receptor 2	0.08	0.308	0.396	0.252	0.084
P43681	Neuronal acetylcholine receptor subunit alpha-4	0.08	0.176	0.206	0.156	0.05
P33765	Adenosine receptor A3	0.078	0.16	0.056	0.068	0.02
P30543	Adenosine receptor A2a	0.076	0.182	0.038	0.084	0.016
P30556	Type-1 angiotensin II receptor	0.076	0.73	0.024	0.118	0.05
P34998	Corticotropin-releasing factor receptor 1	0.076	0.172	0.014	0.052	0.018
P48736	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform	0.076	0.16	0.086	0.156	0.018
Q13133	Oxysterols receptor LXR-alpha	0.076	0.228	0.458	0.234	0.25
P32247	Bombesin receptor subtype-3	0.074	0.262	0.048	0.088	0.012
P37059	Estradiol 17-beta-dehydrogenase 2	0.074	0.306	0.384	0.232	0.116
Q13258	Prostaglandin D2 receptor	0.074	0.106	0.21	0.042	0.028
Q9Y5Y4	Prostaglandin D2 receptor 2	0.074	0.168	0.13	0.086	0.016
P21836	Acetylcholinesterase	0.072	0.182	0.186	0.192	0.108
P23978	Sodium- and chloride-dependent GABA transporter 1	0.072	0.142	0.09	0.064	0.04
P25025	C-X-C chemokine receptor type 2	0.072	0.112	0.034	0.082	0.038
P28222	5-hydroxytryptamine receptor 1B	0.072	0.078	0.024	0.12	0.002
P05129	Protein kinase C gamma type	0.07	0.144	0.476	0.076	0.032
P31648	Sodium- and chloride-dependent GABA transporter 1	0.07	0.162	0.186	0.07	0.07
P43116	Prostaglandin E2 receptor EP2 subtype	0.07	0.316	0.466	0.214	0.122
P70536	Oxytocin receptor	0.07	0.114	0.078	0.082	0.064
Q02127	Dihydroorotate dehydrogenase (quinone), mitochondrial	0.07	0.356	0.082	0.192	0.05
Q05469	Hormone-sensitive lipase	0.07	0.08	0.054	0.072	0.014
O15379	Histone deacetylase 3	0.068	0.3	0.276	0.16	0.202
P08246	Neutrophil elastase	0.068	0.14	0.3	0.112	0.136
P08842	Steryl-sulfatase	0.068	0.138	0.144	0.114	0.056
P25024	C-X-C chemokine receptor type 1	0.068	0.192	0.106	0.046	0.022
P48147	Prolyl endopeptidase	0.068	0.22	0.346	0.122	0.11
P50172	Corticosteroid 11-beta-dehydrogenase isozyme 1	0.068	0.248	0.566	0.18	0.126
Q99808	Equilibrative nucleoside transporter 1	0.068	0.056	0.018	0.024	0.014
P11229	Muscarinic acetylcholine receptor M1	0.066	0.264	0.142	0.108	0.038
P20288	D(2) dopamine receptor	0.066	0.176	0.134	0.086	0.056
P30559	Oxytocin receptor	0.066	0.176	0.128	0.1	0.048
P35563	5-hydroxytryptamine receptor 3A	0.066	0.204	0.25	0.22	0.054
P46925	Plasmepsin-2	0.066	0.194	0.062	0.142	0.048
Q15077	P2Y purinoceptor 6	0.066	0.066	0.02	0.044	0.024
P14842	5-hydroxytryptamine receptor 2A	0.064	0.086	0.024	0.046	0.012
P23977	Sodium-dependent dopamine transporter	0.064	0.122	0.02	0.07	0.028
P28223	5-hydroxytryptamine receptor 2A	0.064	0.082	0.07	0.1	0.078
P28647	Adenosine receptor A3	0.064	0.1	0.04	0.07	0.018
P43235	Cathepsin K	0.064	0.194	0.186	0.072	0.052
P50579	Methionine aminopeptidase 2	0.064	0.132	0.472	0.08	0.066
P00734	Prothrombin	0.062	0.23	0.446	0.198	0.044
P10826	Retinoic acid receptor beta	0.062	0.144	0.29	0.078	0.094
P31421	Metabotropic glutamate receptor 2	0.062	0.072	0.168	0.052	0.01
Q04609	Glutamate carboxypeptidase 2	0.062	0.226	0.374	0.112	0.104
P06401	Progesterone receptor	0.06	0.198	0.492	0.1	0.022
P11597	Cholesteryl ester transfer protein	0.06	0.134	0.126	0.062	0.044
P20309	Muscarinic acetylcholine receptor M3	0.06	0.25	0.094	0.048	0.066
P34969	5-hydroxytryptamine receptor 7	0.06	0.076	0.028	0.126	0.024
P42892	Endothelin-converting enzyme 1	0.06	0.2	0.148	0.086	0.028
P61169	D(2) dopamine receptor	0.06	0.038	0.008	0.014	0.012
Q15078	Cyclin-dependent kinase 5 activator 1	0.06	0.17	0.03	0.102	0.024
Q8TDS4	Hydroxycarboxylic acid receptor 2	0.06	0.184	0.234	0.056	0.028
P08908	5-hydroxytryptamine receptor 1A	0.058	0.134	0.058	0.098	0.016
P20272	Cannabinoid receptor 1	0.058	0.202	0.412	0.082	0.056
P28335	5-hydroxytryptamine receptor 2C	0.058	0.158	0.176	0.152	0.026
P28845	Corticosteroid 11-beta-dehydrogenase isozyme 1	0.058	0.262	0.632	0.12	0.036
Q64663	P2X purinoceptor 7	0.058	0.29	0.09	0.062	0.016
Q86V86	Serine/threonine-protein kinase pim-3	0.058	0.168	0.086	0.14	0.07
Q969F8	KiSS-1 receptor	0.058	0.05	0.01	0.018	0.004
O35433	Transient receptor potential cation channel subfamily V member 1	0.056	0.096	0.15	0.054	0.002
P00375	Dihydrofolate reductase	0.056	0.024	0.006	0.016	0.01
P16257	Translocator protein	0.056	0.216	0.016	0.026	0.016
P35348	Alpha-1A adrenergic receptor	0.056	0.108	0.08	0.054	0.01
P48443	Retinoic acid receptor RXR-gamma	0.056	0.158	0.39	0.09	0.08
O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta	0.054	0.216	0.052	0.2	0.048
O60725	Protein-S-isoprenylcysteine O-methyltransferase	0.054	0.244	0.076	0.122	0.01
P13612	Integrin alpha-4	0.054	0.168	0.412	0.088	0.082
P25105	Platelet-activating factor receptor	0.054	0.216	0.408	0.07	0.028
P31213	3-oxo-5-alpha-steroid 4-dehydrogenase 2	0.054	0.164	0.542	0.14	0.142
P35462	D(3) dopamine receptor	0.054	0.182	0.034	0.138	0.124
P09237	Matrilysin	0.052	0.072	0.018	0.096	0.008
P10276	Retinoic acid receptor alpha	0.052	0.148	0.21	0.11	0.094
P22001	Potassium voltage-gated channel subfamily A member 3	0.052	0.194	0.534	0.18	0.13
P28702	Retinoic acid receptor RXR-beta	0.052	0.098	0.204	0.048	0.022
P43115	Prostaglandin E2 receptor EP3 subtype	0.052	0.184	0.254	0.096	0.052
P98170	E3 ubiquitin-protein ligase XIAP	0.052	0.082	0.154	0.076	0.058
Q07422	Bifunctional dihydrofolate reductase-thymidylate synthase	0.052	0.034	0.02	0.028	0.002
Q08881	Tyrosine-protein kinase ITK/TSK	0.052	0.13	0.032	0.074	0.01
P08253	72 kDa type IV collagenase	0.05	0.048	0.02	0.14	0.17
P25101	Endothelin-1 receptor	0.05	0.056	0.032	0.018	0.006
P47811	Mitogen-activated protein kinase 14	0.05	0.23	0.028	0.046	0.01
Q00535	Cyclin-dependent kinase 5	0.05	0.188	0.098	0.11	0.074
P14416	D(2) dopamine receptor	0.048	0.16	0.01	0.1	0.042
P25774	Cathepsin S	0.048	0.148	0.064	0.046	0.006
P30291	Wee1-like protein kinase	0.048	0.086	0.04	0.058	0.012
P30874	Somatostatin receptor type 2	0.048	0.14	0.044	0.018	0
P35408	Prostaglandin E2 receptor EP4 subtype	0.048	0.158	0.26	0.092	0.044
P37288	Vasopressin V1a receptor	0.048	0.13	0.17	0.082	0.056
P55210	Caspase-7	0.048	0.054	0.028	0.024	0.018
Q03181	Peroxisome proliferator-activated receptor delta	0.048	0.062	0.126	0.112	0.012
Q9QYN8	Histamine H3 receptor	0.048	0.244	0.094	0.126	0.01
P32246	C-C chemokine receptor type 1	0.046	0.04	0.028	0.09	0.048
P34995	Prostaglandin E2 receptor EP1 subtype	0.046	0.216	0.292	0.086	0.03
P42785	Lysosomal Pro-X carboxypeptidase	0.046	0.162	0.06	0.082	0.024
P50406	5-hydroxytryptamine receptor 6	0.046	0.052	0.022	0.184	0.028
Q9Y5N1	Histamine H3 receptor	0.046	0.288	0.048	0.126	0.028
P07477	Trypsin-1	0.044	0.128	0.346	0.11	0.014
P30518	Vasopressin V2 receptor	0.044	0.118	0.006	0.016	0.016
P30553	Gastrin/cholecystokinin type B receptor	0.044	0.204	0.078	0.088	0.012
P37268	Squalene synthase	0.044	0.108	0.166	0.084	0.084
P41180	Extracellular calcium-sensing receptor	0.044	0.144	0.026	0.114	0.026
Q15722	Leukotriene B4 receptor 1	0.044	0.186	0.236	0.146	0.074
Q5RAG0	Histone deacetylase 1	0.044	0.21	0.272	0.022	0.01
Q96RI1	Bile acid receptor	0.044	0.058	0.292	0.052	0.116
P08514	Integrin alpha-IIb	0.042	0.04	0.032	0.026	0.012
P24557	Thromboxane-A synthase	0.042	0.11	0.046	0.034	0
P41149	Melanocortin receptor 5	0.042	0.054	0.036	0.054	0.052
P45452	Collagenase 3	0.042	0.138	0.044	0.092	0.004
Q29010	Endothelin-1 receptor	0.042	0.1	0.024	0.038	0.018
Q7TMR0	Lysosomal Pro-X carboxypeptidase	0.042	0.222	0.038	0.044	0.026
P07339	Cathepsin D	0.04	0.078	0.04	0.05	0.004
P13945	Beta-3 adrenergic receptor	0.04	0.016	0.002	0.028	0.004
P18405	3-oxo-5-alpha-steroid 4-dehydrogenase 1	0.04	0.076	0.578	0.036	0.094
P27487	Dipeptidyl peptidase 4	0.04	0.104	0.008	0.022	0.008
P32305	5-hydroxytryptamine receptor 7	0.04	0.088	0.046	0.062	0.006
P35368	Alpha-1B adrenergic receptor	0.04	0.19	0.054	0.074	0.062
P46663	B1 bradykinin receptor	0.04	0.088	0.014	0.032	0.006
P56450	Melanocortin receptor 4	0.04	0.108	0.056	0.052	0.04
Q99720	Sigma non-opioid intracellular receptor 1	0.04	0.128	0.284	0.124	0.148
O95822	Malonyl-CoA decarboxylase, mitochondrial	0.038	0.146	0.032	0.052	0.018
P00742	Coagulation factor X	0.038	0.042	0.006	0.068	0.01
P23946	Chymase	0.038	0.062	0.062	0.102	0.006
P26684	Endothelin-1 receptor	0.038	0.044	0.008	0.016	0.006
P50052	Type-2 angiotensin II receptor	0.038	0.404	0.006	0.02	0
Q62053	Prostaglandin E2 receptor EP2 subtype	0.038	0.1	0.336	0.044	0.07
P14740	Dipeptidyl peptidase 4	0.036	0.086	0.142	0.042	0.014
P21731	Thromboxane A2 receptor	0.036	0.118	0.214	0.034	0
P25116	Proteinase-activated receptor 1	0.036	0.084	0.148	0.02	0.004
P30560	Vasopressin V1a receptor	0.036	0.032	0.008	0.046	0.016
P31652	Sodium-dependent serotonin transporter	0.036	0.138	0.236	0.062	0.01
P49430	Thromboxane-A synthase	0.036	0.118	0.012	0.17	0.004
Q13547	Histone deacetylase 1	0.036	0.128	0.298	0.012	0.012
Q29463	Anionic trypsin	0.036	0.054	0.09	0.024	0.016
Q99835	Smoothened homolog	0.036	0.034	0.088	0.028	0.008
Q9Y5Z0	Beta-secretase 2	0.036	0.09	0.02	0.026	0
P29466	Caspase-1	0.034	0.15	0.182	0.074	0.104
P35610	Sterol O-acyltransferase 1	0.034	0.16	0.144	0.074	0.01
P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A	0.034	0.06	0.12	0.032	0.006
Q99705	Melanin-concentrating hormone receptor 1	0.034	0.064	0.002	0.052	0.002
Q9P1W9	Serine/threonine-protein kinase pim-2	0.034	0.178	0.024	0.12	0.028
O70536	Sterol O-acyltransferase 1	0.032	0.184	0.02	0.098	0.036
O77636	Disintegrin and metalloproteinase domain-containing protein 17	0.032	0.064	0.01	0.018	0
P07607	Thymidylate synthase	0.032	0.052	0.022	0.028	0
P21917	D(4) dopamine receptor	0.032	0.128	0.044	0.054	0.026
P30557	Prostaglandin E2 receptor EP3 subtype	0.032	0.118	0.056	0.058	0.03
P31391	Somatostatin receptor type 4	0.032	0.136	0.048	0.032	0.002
P49810	Presenilin-2	0.032	0.058	0.116	0.05	0
P51661	Corticosteroid 11-beta-dehydrogenase isozyme 2	0.032	0.336	0.154	0.038	0.004
Q99572	P2X purinoceptor 7	0.032	0.266	0.03	0.084	0.012
O43614	Orexin receptor type 2	0.03	0.124	0.016	0.02	0
P20292	Arachidonate 5-lipoxygenase-activating protein	0.03	0.116	0.042	0.044	0.026
P32300	Delta-type opioid receptor	0.03	0.202	0.256	0.074	0.07
P33032	Melanocortin receptor 5	0.03	0.05	0.038	0.036	0.008
P48067	Sodium- and chloride-dependent glycine transporter 1	0.03	0.114	0.002	0.076	0.042
P19793	Retinoic acid receptor RXR-alpha	0.028	0.122	0.266	0.034	0.098
P30411	B2 bradykinin receptor	0.028	0.05	0.034	0.04	0.006
P36897	TGF-beta receptor type-1	0.028	0.17	0.026	0.064	0.006
P42866	Mu-type opioid receptor	0.028	0.076	0.03	0.036	0.024
P53609	Geranylgeranyl transferase type-1 subunit beta	0.028	0.266	0.176	0.024	0.002
Q14790	Caspase-8	0.028	0.072	0.044	0.03	0.01
P04150	Glucocorticoid receptor	0.026	0.108	0.558	0.056	0.028
P08254	Stromelysin-1	0.026	0.08	0.012	0.08	0.004
P19320	Vascular cell adhesion protein 1	0.026	0.082	0.044	0.108	0.008
P97266	Mu-type opioid receptor	0.026	0.106	0.074	0.056	0.07
Q00788	Vasopressin V2 receptor	0.026	0.082	0.01	0.03	0
O14672	Disintegrin and metalloproteinase domain-containing protein 10	0.024	0.09	0.03	0.024	0.014
P00760	Cationic trypsin	0.024	0.116	0.046	0.098	0.026
P29275	Adenosine receptor A2b	0.024	0.146	0.024	0.068	0.012
P30872	Somatostatin receptor type 1	0.024	0.108	0.046	0.038	0.014
P35346	Somatostatin receptor type 5	0.024	0.088	0.05	0.082	0.006
P62943	Peptidyl-prolyl cis-trans isomerase FKBP1A	0.024	0.05	0.214	0.028	0.022
Q92542	Nicastrin	0.024	0.034	0.148	0.048	0.004
P03956	Interstitial collagenase	0.022	0.07	0.034	0.042	0.156
P21452	Substance-K receptor	0.022	0.074	0.012	0.01	0.002
P24530	Endothelin B receptor	0.022	0.062	0.016	0.012	0.004
P31639	Sodium/glucose cotransporter 2	0.022	0.044	0.112	0.048	0.01
P49768	Presenilin-1	0.022	0.028	0.112	0.042	0.004
Q15661	Tryptase alpha/beta-1	0.022	0.104	0.02	0.054	0.006
Q8WW43	Gamma-secretase subunit APH-1B	0.022	0.052	0.1	0.082	0.006
Q9H244	P2Y purinoceptor 12	0.022	0.038	0.038	0.054	0
P19634	Sodium/hydrogen exchanger 1	0.02	0.114	0.016	0.054	0.004
P30968	Gonadotropin-releasing hormone receptor	0.02	0.07	0.002	0.026	0
P35463	Endothelin B receptor	0.02	0.078	0.032	0.06	0.006
P41144	Kappa-type opioid receptor	0.02	0.128	0.138	0.016	0.026
P41597	C-C chemokine receptor type 2	0.02	0.114	0.026	0.018	0.006
Q04631	Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	0.02	0.288	0.15	0.034	0.012
P32238	Cholecystokinin receptor type A	0.018	0.084	0.06	0.016	0.004
P41968	Melanocortin receptor 3	0.018	0.046	0.024	0.022	0.006
P47871	Glucagon receptor	0.018	0.148	0.03	0.038	0.004
P49682	C-X-C chemokine receptor type 3	0.018	0.08	0.042	0.06	0.01
P78536	Disintegrin and metalloproteinase domain-containing protein 17	0.018	0.036	0.004	0.046	0
Q9Y271	Cysteinyl leukotriene receptor 1	0.018	0.092	0.054	0.068	0.014
P12821	Angiotensin-converting enzyme	0.016	0.196	0.072	0.014	0.004
P14600	Substance-P receptor	0.016	0.082	0.07	0.018	0.018
P21554	Cannabinoid receptor 1	0.016	0.33	0.264	0.16	0.016
P34976	Type-1 angiotensin II receptor	0.016	0.42	0.004	0.01	0
P41145	Kappa-type opioid receptor	0.016	0.178	0.286	0.112	0.006
Q92847	Growth hormone secretagogue receptor type 1	0.016	0.058	0	0.02	0
P19327	5-hydroxytryptamine receptor 1A	0.014	0.064	0.01	0.034	0.002
P29371	Neuromedin-K receptor	0.014	0.088	0.008	0.018	0.01
P32240	Prostaglandin E2 receptor EP4 subtype	0.014	0.104	0.132	0.042	0.004
P32745	Somatostatin receptor type 3	0.014	0.108	0.05	0.016	0
P33533	Delta-type opioid receptor	0.014	0.084	0.104	0.014	0.01
P35372	Mu-type opioid receptor	0.014	0.064	0.124	0.022	0.008
P41146	Nociceptin receptor	0.014	0.062	0.026	0.018	0.002
Q96BI3	Gamma-secretase subunit APH-1A	0.014	0.042	0.104	0.062	0
P05106	Integrin beta-3	0.012	0.048	0.004	0.014	0.006
P06756	Integrin alpha-V	0.012	0.018	0.008	0.018	0
P07478	Trypsin-2	0.012	0.132	0.044	0.102	0.002
P08473	Neprilysin	0.012	0.092	0.036	0.016	0.002
P13497	Bone morphogenetic protein 1	0.012	0.04	0.002	0.01	0
P18084	Integrin beta-5	0.012	0.036	0.01	0.016	0.008
P22894	Neutrophil collagenase	0.012	0.036	0.02	0.052	0.008
P62993	Growth factor receptor-bound protein 2	0.012	0.054	0.042	0.018	0.004
Q01727	Melanocyte-stimulating hormone receptor	0.012	0.038	0.004	0.008	0.004
Q04759	Protein kinase C theta type	0.012	0.122	0.34	0.094	0.034
Q9NZ42	Gamma-secretase subunit PEN-2	0.012	0.044	0.134	0.058	0.012
P04035	3-hydroxy-3-methylglutaryl-coenzyme A reductase	0.008	0.07	0.802	0.068	0.022
P06737	Glycogen phosphorylase, liver form	0.008	0.044	0.038	0.008	0.004
P07861	Neprilysin	0.008	0.102	0.144	0.028	0.002
P20701	Integrin alpha-L	0.008	0.082	0.306	0.034	0.004
P25103	Substance-P receptor	0.008	0.088	0.004	0.004	0
P30551	Cholecystokinin receptor type A	0.008	0.064	0.044	0.026	0.008
P30969	Gonadotropin-releasing hormone receptor	0.008	0.066	0.002	0.032	0.002
P32239	Gastrin/cholecystokinin type B receptor	0.008	0.018	0.018	0.004	0
P09958	Furin	0.006	0.028	0.034	0.026	0.018
P20231	Tryptase beta-2	0.006	0.05	0.024	0.028	0.002
P29089	Type-1B angiotensin II receptor	0.006	0.278	0.014	0.002	0
P32245	Melanocortin receptor 4	0.006	0.066	0.014	0.012	0
P33535	Mu-type opioid receptor	0.006	0.126	0.274	0.032	0.014
P35351	Type-2 angiotensin II receptor	0.006	0.254	0.006	0.04	0.004
P51677	C-C chemokine receptor type 3	0.006	0.032	0.024	0.018	0
O43193	Motilin receptor	0.004	0.034	0.138	0.008	0
P07384	Calpain-1 catalytic subunit	0.004	0.042	0.022	0.016	0.002
P08709	Coagulation factor VII	0.004	0.038	0.006	0.008	0
P25104	Type-1 angiotensin II receptor	0.004	0.418	0.004	0.004	0
P47820	Angiotensin-converting enzyme	0.004	0.042	0.072	0.022	0.014
P47901	Vasopressin V1b receptor	0.004	0.034	0.006	0.02	0
P49355	Protein farnesyltransferase subunit beta	0.004	0.13	0.01	0.01	0.002
P49356	Protein farnesyltransferase subunit beta	0.004	0.092	0.454	0.006	0.01
P51639	3-hydroxy-3-methylglutaryl-coenzyme A reductase	0.004	0.036	0.594	0.008	0.016
P51681	C-C chemokine receptor type 5	0.004	0.066	0.044	0.014	0.004
Q16602	Calcitonin gene-related peptide type 1 receptor	0.004	0.012	0.006	0.014	0.004
O14939	Phospholipase D2	0.002	0.022	0.006	0.004	0.002
P05556	Integrin beta-1	0.002	0.02	0.008	0.008	0.002
P20444	Protein kinase C alpha type	0.002	0.018	0.158	0.03	0.002
P55157	Microsomal triglyceride transfer protein large subunit	0.002	0.038	0.006	0.004	0.004
P56481	Gastrin/cholecystokinin type B receptor	0.002	0.022	0.02	0.028	0
Q01726	Melanocyte-stimulating hormone receptor	0.002	0.014	0	0.008	0
Q95323	Carbonic anhydrase 4	0.002	0.032	0	0.374	0
